Time	Node	Type	Packets	
9	4	CacheMisses	0
9	5	CacheHits	0
9	5	CacheMisses	0
9	6	CacheHits	0
9	6	CacheMisses	0
9	7	CacheHits	0
9	7	CacheMisses	0
9	8	CacheHits	0
9	8	CacheMisses	0
9	9	CacheHits	0
9	9	CacheMisses	0
9	10	CacheHits	0
9	10	CacheMisses	0
9	11	CacheHits	0
9	11	CacheMisses	0
10	0	CacheHits	0
10	0	CacheMisses	0
10	1	CacheHits	0
10	1	CacheMisses	0
10	2	CacheHits	0
10	2	CacheMisses	0
10	3	CacheHits	0
10	3	CacheMisses	0
10	4	CacheHits	0
10	4	CacheMisses	0
10	5	CacheHits	0
10	5	CacheMisses	0
10	6	CacheHits	0
10	6	CacheMisses	0
10	7	CacheHits	0
10	7	CacheMisses	0
10	8	CacheHits	0
10	8	CacheMisses	0
10	9	CacheHits	0
10	9	CacheMisses	0
10	10	CacheHits	0
10	10	CacheMisses	0
10	11	CacheHits	0
10	11	CacheMisses	0
11	0	CacheHits	0
11	0	CacheMisses	0
11	1	CacheHits	0
11	1	CacheMisses	0
11	2	CacheHits	0
11	2	CacheMisses	0
11	3	CacheHits	0
11	3	CacheMisses	0
11	4	CacheHits	0
11	4	CacheMisses	0
11	5	CacheHits	0
11	5	CacheMisses	0
11	6	CacheHits	0
11	6	CacheMisses	0
11	7	CacheHits	0
11	7	CacheMisses	0
11	8	CacheHits	0
11	8	CacheMisses	0
11	9	CacheHits	0
11	9	CacheMisses	0
11	10	CacheHits	0
11	10	CacheMisses	0
11	11	CacheHits	0
11	11	CacheMisses	0
12	0	CacheHits	0
12	0	CacheMisses	0
12	1	CacheHits	0
12	1	CacheMisses	0
12	2	CacheHits	0
12	2	CacheMisses	0
12	3	CacheHits	0
12	3	CacheMisses	0
12	4	CacheHits	0
12	4	CacheMisses	0
12	5	CacheHits	0
12	5	CacheMisses	0
12	6	CacheHits	0
12	6	CacheMisses	0
12	7	CacheHits	0
12	7	CacheMisses	0
12	8	CacheHits	0
12	8	CacheMisses	0
12	9	CacheHits	0
12	9	CacheMisses	0
12	10	CacheHits	0
12	10	CacheMisses	0
12	11	CacheHits	0
12	11	CacheMisses	0
13	0	CacheHits	0
13	0	CacheMisses	0
13	1	CacheHits	0
13	1	CacheMisses	0
13	2	CacheHits	0
13	2	CacheMisses	0
13	3	CacheHits	0
13	3	CacheMisses	0
13	4	CacheHits	0
13	4	CacheMisses	0
13	5	CacheHits	0
13	5	CacheMisses	0
13	6	CacheHits	0
13	6	CacheMisses	0
13	7	CacheHits	0
13	7	CacheMisses	0
13	8	CacheHits	0
13	8	CacheMisses	0
13	9	CacheHits	0
13	9	CacheMisses	0
13	10	CacheHits	0
13	10	CacheMisses	0
13	11	CacheHits	0
