Time	Node	Type	Packets	
12	1	CacheHits	8
12	1	CacheMisses	2
12	2	CacheHits	8
12	2	CacheMisses	2
12	3	CacheHits	0
12	3	CacheMisses	2
12	4	CacheHits	0
12	4	CacheMisses	0
12	5	CacheHits	4
12	5	CacheMisses	2
12	6	CacheHits	0
12	6	CacheMisses	2
12	7	CacheHits	0
12	7	CacheMisses	2
12	8	CacheHits	0
12	8	CacheMisses	2
12	9	CacheHits	0
12	9	CacheMisses	0
13	0	CacheHits	8
13	0	CacheMisses	2
13	1	CacheHits	9
13	1	CacheMisses	1
13	2	CacheHits	6
13	2	CacheMisses	4
13	3	CacheHits	0
13	3	CacheMisses	3
13	4	CacheHits	0
13	4	CacheMisses	0
13	5	CacheHits	4
13	5	CacheMisses	3
13	6	CacheHits	0
13	6	CacheMisses	3
13	7	CacheHits	0
13	7	CacheMisses	3
13	8	CacheHits	0
13	8	CacheMisses	3
13	9	CacheHits	0
13	9	CacheMisses	0
14	0	CacheHits	7
14	0	CacheMisses	3
14	1	CacheHits	7
14	1	CacheMisses	3
14	2	CacheHits	8
14	2	CacheMisses	2
14	3	CacheHits	0
14	3	CacheMisses	3
14	4	CacheHits	0
14	4	CacheMisses	0
14	5	CacheHits	5
14	5	CacheMisses	3
14	6	CacheHits	0
14	6	CacheMisses	3
14	7	CacheHits	0
14	7	CacheMisses	3
14	8	CacheHits	0
14	8	CacheMisses	3
14	9	CacheHits	0
14	9	CacheMisses	0
15	0	CacheHits	5
15	0	CacheMisses	5
15	1	CacheHits	9
15	1	CacheMisses	1
15	2	CacheHits	9
15	2	CacheMisses	1
15	3	CacheHits	0
15	3	CacheMisses	1
15	4	CacheHits	0
15	4	CacheMisses	0
15	5	CacheHits	6
15	5	CacheMisses	1
15	6	CacheHits	0
15	6	CacheMisses	1
15	7	CacheHits	0
15	7	CacheMisses	1
15	8	CacheHits	0
15	8	CacheMisses	1
15	9	CacheHits	0
15	9	CacheMisses	0
16	0	CacheHits	8
16	0	CacheMisses	2
16	1	CacheHits	7
16	1	CacheMisses	3
16	2	CacheHits	8
16	2	CacheMisses	2
16	3	CacheHits	0
16	3	CacheMisses	1
16	4	CacheHits	0
16	4	CacheMisses	0
16	5	CacheHits	6
16	5	CacheMisses	1
16	6	CacheHits	0
16	6	CacheMisses	1
16	7	CacheHits	0
16	7	CacheMisses	1
16	8	CacheHits	0
16	8	CacheMisses	1
16	9	CacheHits	0
16	9	CacheMisses	0
17	0	CacheHits	6
17	0	CacheMisses	4
17	1	CacheHits	8
17	1	CacheMisses	2
17	2	CacheHits	8
17	2	CacheMisses	2
17	3	CacheHits	0
17	3	CacheMisses	0
17	4	CacheHits	0
17	4	CacheMisses	0
17	5	CacheHits	8
17	5	CacheMisses	0
17	6	CacheHits	0
17	6	CacheMisses	0
17	7	CacheHits	0
17	7	CacheMisses	0
17	8	CacheHits	0
17	8	CacheMisses	0
