Time	Node	Type	Packets	
11	r1	CacheHits	0
11	r1	CacheMisses	0
11	r2	CacheHits	0
11	r2	CacheMisses	0
11	r3	CacheHits	0
11	r3	CacheMisses	0
11	r4	CacheHits	0
11	r4	CacheMisses	0
11	6	CacheHits	0
11	6	CacheMisses	0
11	7	CacheHits	0
11	7	CacheMisses	0
11	8	CacheHits	0
11	8	CacheMisses	0
11	9	CacheHits	0
11	9	CacheMisses	0
11	10	CacheHits	0
11	10	CacheMisses	0
11	11	CacheHits	0
11	11	CacheMisses	0
12	p1	CacheHits	0
12	p1	CacheMisses	0
12	p2	CacheHits	0
12	p2	CacheMisses	0
12	r1	CacheHits	0
12	r1	CacheMisses	0
12	r2	CacheHits	0
12	r2	CacheMisses	0
12	r3	CacheHits	0
12	r3	CacheMisses	0
12	r4	CacheHits	0
12	r4	CacheMisses	0
12	6	CacheHits	0
12	6	CacheMisses	0
12	7	CacheHits	0
12	7	CacheMisses	0
12	8	CacheHits	0
12	8	CacheMisses	0
12	9	CacheHits	0
12	9	CacheMisses	0
12	10	CacheHits	0
12	10	CacheMisses	0
12	11	CacheHits	0
12	11	CacheMisses	0
13	p1	CacheHits	0
13	p1	CacheMisses	0
13	p2	CacheHits	0
13	p2	CacheMisses	0
13	r1	CacheHits	0
13	r1	CacheMisses	0
13	r2	CacheHits	0
13	r2	CacheMisses	0
13	r3	CacheHits	0
13	r3	CacheMisses	0
13	r4	CacheHits	0
13	r4	CacheMisses	0
13	6	CacheHits	0
13	6	CacheMisses	0
13	7	CacheHits	0
13	7	CacheMisses	0
13	8	CacheHits	0
13	8	CacheMisses	0
13	9	CacheHits	0
13	9	CacheMisses	0
13	10	CacheHits	0
13	10	CacheMisses	0
13	11	CacheHits	0
13	11	CacheMisses	0
14	p1	CacheHits	0
14	p1	CacheMisses	0
14	p2	CacheHits	0
14	p2	CacheMisses	0
14	r1	CacheHits	0
14	r1	CacheMisses	0
14	r2	CacheHits	0
14	r2	CacheMisses	0
14	r3	CacheHits	0
14	r3	CacheMisses	0
14	r4	CacheHits	0
14	r4	CacheMisses	0
14	6	CacheHits	0
14	6	CacheMisses	0
14	7	CacheHits	0
14	7	CacheMisses	0
14	8	CacheHits	0
14	8	CacheMisses	0
14	9	CacheHits	0
14	9	CacheMisses	0
14	10	CacheHits	0
14	10	CacheMisses	0
14	11	CacheHits	0
14	11	CacheMisses	0
15	p1	CacheHits	0
15	p1	CacheMisses	0
15	p2	CacheHits	0
15	p2	CacheMisses	0
15	r1	CacheHits	0
15	r1	CacheMisses	0
15	r2	CacheHits	0
15	r2	CacheMisses	0
15	r3	CacheHits	0
15	r3	CacheMisses	0
15	r4	CacheHits	0
15	r4	CacheMisses	0
15	6	CacheHits	0
15	6	CacheMisses	0
15	7	CacheHits	0
15	7	CacheMisses	0
15	8	CacheHits	0
15	8	CacheMisses	0
15	9	CacheHits	0
15	9	CacheMisses	0
15	10	CacheHits	0
15	10	CacheMisses	0
15	11	CacheHits	0
15	11	CacheMisses	0
16	p1	CacheHits	0
16	p1	CacheMisses	0
16	p2	CacheHits	0
16	p2	CacheMisses	0
16	r1	CacheHits	0
16	r1	CacheMisses	0
16	r2	CacheHits	0
16	r2	CacheMisses	0
16	r3	CacheHits	0
16	r3	CacheMisses	0
16	r4	CacheHits	0
16	r4	CacheMisses	0
16	6	CacheHits	0
16	6	CacheMisses	0
16	7	CacheHits	0
16	7	CacheMisses	0
16	8	CacheHits	0
16	8	CacheMisses	0
16	9	CacheHits	0
16	9	CacheMisses	0
16	10	CacheHits	0
16	10	CacheMisses	0
16	11	CacheHits	0
16	11	CacheMisses	0
17	p1	CacheHits	0
17	p1	CacheMisses	0
17	p2	CacheHits	0
17	p2	CacheMisses	0
17	r1	CacheHits	0
17	r1	CacheMisses	0
17	r2	CacheHits	0
17	r2	CacheMisses	0
17	r3	CacheHits	0
17	r3	CacheMisses	0
17	r4	CacheHits	0
17	r4	CacheMisses	0
17	6	CacheHits	0
17	6	CacheMisses	0
17	7	CacheHits	0
17	7	CacheMisses	0
17	8	CacheHits	0
17	8	CacheMisses	0
17	9	CacheHits	0
17	9	CacheMisses	0
17	10	CacheHits	0
17	10	CacheMisses	0
17	11	CacheHits	0
17	11	CacheMisses	0
18	p1	CacheHits	0
18	p1	CacheMisses	0
18	p2	CacheHits	0
18	p2	CacheMisses	0
18	r1	CacheHits	0
18	r1	CacheMisses	0
18	r2	CacheHits	0
18	r2	CacheMisses	0
18	r3	CacheHits	0
18	r3	CacheMisses	0
18	r4	CacheHits	0
18	r4	CacheMisses	0
18	6	CacheHits	0
18	6	CacheMisses	0
18	7	CacheHits	0
18	7	CacheMisses	0
18	8	CacheHits	0
18	8	CacheMisses	0
18	9	CacheHits	0
18	9	CacheMisses	0
18	10	CacheHits	0
18	10	CacheMisses	0
18	11	CacheHits	0
18	11	CacheMisses	0
19	p1	CacheHits	0
19	p1	CacheMisses	0
19	p2	CacheHits	0
19	p2	CacheMisses	0
19	r1	CacheHits	0
19	r1	CacheMisses	0
19	r2	CacheHits	0
19	r2	CacheMisses	0
19	r3	CacheHits	0
19	r3	CacheMisses	0
19	r4	CacheHits	0
19	r4	CacheMisses	0
19	6	CacheHits	0
19	6	CacheMisses	0
19	7	CacheHits	0
19	7	CacheMisses	0
19	8	CacheHits	0
19	8	CacheMisses	0
19	9	CacheHits	0
19	9	CacheMisses	0
19	10	CacheHits	0
19	10	CacheMisses	0
19	11	CacheHits	0
19	11	CacheMisses	0
20	p1	CacheHits	0
20	p1	CacheMisses	0
20	p2	CacheHits	0
20	p2	CacheMisses	0
20	r1	CacheHits	0
20	r1	CacheMisses	0
20	r2	CacheHits	0
20	r2	CacheMisses	0
20	r3	CacheHits	0
20	r3	CacheMisses	0
20	r4	CacheHits	0
20	r4	CacheMisses	0
20	6	CacheHits	0
20	6	CacheMisses	0
20	7	CacheHits	0
20	7	CacheMisses	0
20	8	CacheHits	0
20	8	CacheMisses	0
20	9	CacheHits	0
20	9	CacheMisses	0
20	10	CacheHits	0
20	10	CacheMisses	0
20	11	CacheHits	0
20	11	CacheMisses	0
21	p1	CacheHits	0
21	p1	CacheMisses	0
21	p2	CacheHits	0
21	p2	CacheMisses	0
21	r1	CacheHits	0
21	r1	CacheMisses	0
21	r2	CacheHits	0
21	r2	CacheMisses	0
21	r3	CacheHits	0
21	r3	CacheMisses	0
21	r4	CacheHits	0
21	r4	CacheMisses	0
21	6	CacheHits	0
21	6	CacheMisses	0
21	7	CacheHits	0
21	7	CacheMisses	0
21	8	CacheHits	0
21	8	CacheMisses	0
21	9	CacheHits	0
21	9	CacheMisses	0
21	10	CacheHits	0
21	10	CacheMisses	0
21	11	CacheHits	0
21	11	CacheMisses	0
22	p1	CacheHits	0
